Sw	Meaning	Sys Cod	PIE ref. (*omitted)	Source	Assessmt.	Rus	Lit	oIs	Bkm	oIr	rIr	Itn	Lat	Alb	aGr	rGr	Arm	Hit	ToB	Ave	San	Hnd
75	water	924	awer- < h₂we(h₁)-r		orphan														wär	(vāra ‘rain’)	(vā́r ?)	
75	water	925	ap- < eh₂p- ‘water, river’)	P51-2	orphan		(ùpė)							-	(Ᾱπ-)			(hāpa-)	(āp ‘river’)	āfš	(āp-)	
75	water	926	pō-no-m ‘drink’ > San pānīya		orphan																	pānī
3	we incl	930	wéi-	P1114; Kas95	#NAME?			vit	vi									wēs	wes	vaēm	vayám	
3	we incl	931	nés, nē̆-s-3 (obl)	P758-3						sni	sinn	noi	nōs	ne	(νῶι)							ham
3	we incl	932	me-1 s	(P702)		мы	mẽs								ἡμεῖς	εμείς	me(n)k’					
7	what (Intpron) [uninformative]	940	kwí-d < ku̯ei- (kwó-d, kwe-)	P644f	#NAME?	что	kàs	hvat	hva(d)	cíd (?)		che (ciò)	quid	ç-(farë)	τί	τί	inč (i(z-i)	kui	ku-s/c(e)	ka(t)	kád, kím	kyā
7	what (Intpron)	941	kwo/u+de? or = above?	(P644,647)+?	orphan						cad											
90	white  [amb]	950	ƙwey-d,t- ?	P628				hvítr	hvit											spaēta-	śvítna	
90	white	951	bhelh₁- ‘shining white’ ?>	P118	?	белый	báltas				(belo)				(φαλός )							
90	white	952	areĝ- < h₂(e)rǵ- ‘white (silver)’	P64; Kas97						(arggat)			(argentum)		(ἀργός )		(arcat)	harki	ārkwi	(ǝrǝzata)	(árju-)	
90	white	954	weid- [?]	P1125	orphan					fin												
90	white	955	bʰeh₂- ‘to shine’	P104	orphan						bán											
90	white	956	bʰleg- ‘glänzen’ via ‘L <Gmc blank(az)	(L86;P124)	orphan							[bianco]										
90	white	953	albho- < h₂él-bho- (metath?)	P30	orphan	(ólovo)	(alwis)						albus			(Ἀλουίων) =?	(aɫauni)					
90	white	957	bherh₁g-o- ‘bright’	PK139	orphan									bardhë								
90	white	958	leuk-1 ‘leuchten’	P687	orphan										λευκός							
90	white	959	s)p(h)erHg- ‘hervorkommen, rscheinen’ ?	(P997)	orphan											άσπρος						
90	white	959a	ƙwey-t-os ‘bright’ >II; here L < MPer ?	P628-9! (VP, Mrt no ety)	orphan												spitak					
90	white	959b	ƙwey-t-os ‘bright’ >San śvetá	P629	orphan																	[safed]
6	who (intpron) [uninformative]	960	kwi-s <kwei; kwós^; ~ kwus;	²P646-7; Kas98 (M/A97)	#NAME?	кто	kà-s	hverr	hvem	cía	cé	chi	qui(s)	kush	τίς	(o)ποιος	o(v)	kui-	kuse	kō	ká(s)	kaun
16	woman	970	gwéna- <gwénh₂-; gwenā- <gwenéh₂-	P473f; Kas99	#ERROR!	женщина		kona	kvinne	ben	bean				γυνή	γυναίκα	kin	(kuwan)	B sana; B klīye	gǝnā, jə̄naya-	jáni	
16	woman	971	mātér- <meh₂tér	P701	sem shift		mṓter-is															
16	woman	972	dem- ‘bauen, Haus’ >domin|us/a ‘Herr/in’	P198								donna										
16	woman	973	mel- <(h₂)moldus ‘zart’ >Komparariv	(P719)									mulier									
16	woman	974	g̑réh2- ‘ripe, ready (grain, grown up of people)’	Holm (P390)	orphan									grúa								
16	woman	975	L <Per عورت (aurat) ‘woman' <Arb Ara عَوْرَة ‘imperfection’	ewy	Orphan																	[aurat]
16	woman	976	not applicable		(meaning)													(unatti)			(nā́rī-)	
89	yellow [amb]	980	ĝhel-(h₃)- ‘shine, yellow’	P429-1	#NAME?	жёлтый	geltṓna-s	gulr	gul				(helvus)							zari-	hari(ta)	
89	yellow	981	bhā- >badi̯os	P104; 92	Orphan					buide	> bui											
89	yellow	982	L <Fre jaine	ewy (?)	orphan							[giallo]	[gilvus]									
89	yellow	983	bleH-wos ‘blond’	P160	orphan								flavus									
89	yellow	984	L < lat viridis	Holm	orphan									[verdhë]								
89	yellow	985	ƙas- ‘blond,braun/dun-c’? or L < ?	P533	orphan										ξανθός							
89	yellow	986	L < Medit. substrate ?	ewy; fwy-	Loan?											[κίτρινος] L						
89	yellow	987	dhelH-bho- ‘yellow’	P246-2(ewy)	orphan												deġin					
89	yellow	988	L<unknown source	Klo268,Kas100	green-yellow													[ḫaḫ-luwant]				
89	yellow	989a	dʰeu-4- >dʰuhₓt-o/eh₁en ‘covered w dust’	Adams P263	orphan														B tute			
89	yellow	989b	pel-6 ‘grey, pale’, and peig/k-1 ‘golden, reddish’ > San pīt/va-la	P804 P794	orphan																(pīta GrS)	pīlā
89	yellow	989c	kenHkó- ‘saflor-gelb’	P564	not used										(κνη/ακός)							
2	You, 2sg, thou (1955) [uninftve]	990	tū̆- <túh₂-	P1097	#NAME?	ты	tù	þú	du	tū	tu	tu	tū	ti	ττύ,σύ	εσύ	du	tu {obl}	B tuwe	tūm, tvə̄m-	t(u)vám	tū
2	you	991	ti <tih₁															zik {dir}				
